"2 ggr/år","Svarsfördelning, procent män 65-74 år M","Svarsfördelning, procent män 65-74 år C","Svarsfördelning, procent män 65-74 år L","Svarsfördelning, procent män 65-74 år KD","Svarsfördelning, procent män 65-74 år NYD","Svarsfördelning, procent män 65-74 år MP","Svarsfördelning, procent män 65-74 år S","Svarsfördelning, procent män 65-74 år V","Svarsfördelning, procent män 65-74 år SD","Svarsfördelning, procent män 65-74 år övriga","Svarsfördelning, procent kvinnor 65-74 år M","Svarsfördelning, procent kvinnor 65-74 år C","Svarsfördelning, procent kvinnor 65-74 år L","Svarsfördelning, procent kvinnor 65-74 år KD","Svarsfördelning, procent kvinnor 65-74 år NYD","Svarsfördelning, procent kvinnor 65-74 år MP","Svarsfördelning, procent kvinnor 65-74 år S","Svarsfördelning, procent kvinnor 65-74 år V","Svarsfördelning, procent kvinnor 65-74 år SD","Svarsfördelning, procent kvinnor 65-74 år övriga","Felmarginal, ± män 65-74 år M","Felmarginal, ± män 65-74 år C","Felmarginal, ± män 65-74 år L","Felmarginal, ± män 65-74 år KD","Felmarginal, ± män 65-74 år NYD","Felmarginal, ± män 65-74 år MP","Felmarginal, ± män 65-74 år S","Felmarginal, ± män 65-74 år V","Felmarginal, ± män 65-74 år SD","Felmarginal, ± män 65-74 år övriga","Felmarginal, ± kvinnor 65-74 år M","Felmarginal, ± kvinnor 65-74 år C","Felmarginal, ± kvinnor 65-74 år L","Felmarginal, ± kvinnor 65-74 år KD","Felmarginal, ± kvinnor 65-74 år NYD","Felmarginal, ± kvinnor 65-74 år MP","Felmarginal, ± kvinnor 65-74 år S","Felmarginal, ± kvinnor 65-74 år V","Felmarginal, ± kvinnor 65-74 år SD","Felmarginal, ± kvinnor 65-74 år övriga"
"2006M05",31.6,7.7,5.2,5.3,..,2.0,42.1,2.8,..,3.3,22.7,9.1,8.8,6.6,..,3.7,45.1,2.9,..,1.1,5.4,3.0,2.5,2.6,..,1.6,5.7,1.9,..,2.0,4.9,3.3,3.2,2.8,..,2.2,5.7,2.0,..,1.2
"2006M11",31.0,9.2,4.9,5.5,..,2.6,35.9,6.0,..,4.9,24.8,10.5,9.0,7.8,..,1.6,41.5,3.1,..,1.6,5.2,3.2,2.4,2.5,..,1.8,5.4,2.7,..,2.4,4.8,3.4,3.2,2.9,..,1.4,5.5,2.0,..,1.4
"2007M05",31.6,7.6,6.8,3.8,..,1.4,42.6,3.3,..,2.9,25.9,7.7,8.9,6.8,..,3.8,44.1,1.2,..,1.6,5.2,3.0,2.8,2.1,..,1.3,5.5,2.0,..,2.0,4.7,2.8,3.0,2.6,..,2.0,5.3,1.2,..,1.4
"2007M11",28.3,7.5,8.0,4.6,..,2.2,42.9,2.6,..,4.0,24.6,7.4,6.9,7.1,..,3.1,48.4,1.0,..,1.6,5.1,3.0,3.0,2.4,..,1.8,5.6,1.8,..,2.2,4.7,2.8,2.7,2.8,..,1.9,5.4,1.1,..,1.4
"2008M05",26.0,5.9,10.2,4.0,..,1.6,43.9,3.9,..,4.6,22.2,6.5,8.7,6.7,..,3.5,47.3,1.9,..,3.2,4.6,2.5,3.2,2.1,..,1.3,5.3,2.1,..,2.3,4.5,2.7,3.1,2.7,..,2.1,5.5,1.5,..,2.0
"2008M11",31.6,6.3,7.3,2.2,..,1.9,43.0,3.2,..,4.4,28.7,6.0,5.0,5.1,..,1.9,46.0,3.9,..,3.4,4.9,2.6,2.7,1.5,..,1.4,5.2,1.9,..,2.2,5.0,2.6,2.4,2.4,..,1.5,5.6,2.2,..,2.1
"2009M05",37.9,5.1,6.4,1.4,..,0.5,40.5,3.7,..,4.5,34.9,5.0,7.4,3.8,..,3.6,40.3,3.6,..,1.3,5.1,2.3,2.6,1.3,..,0.7,5.2,2.0,..,2.2,5.1,2.3,2.7,2.0,..,1.9,5.2,2.0,..,1.3
"2009M11",30.3,5.1,6.4,2.7,..,1.8,45.3,1.9,..,6.4,31.2,5.0,5.5,6.5,..,8.3,36.3,5.1,..,2.2,4.8,2.3,2.6,1.6,..,1.4,5.2,1.4,..,2.5,5.0,2.3,2.4,2.6,..,3.0,5.2,2.4,..,1.6
"2010M05",34.0,4.7,6.0,5.2,..,3.9,38.7,2.4,..,5.1,35.6,4.6,7.0,4.3,..,10.2,33.2,2.8,..,2.4,5.0,2.2,2.4,2.3,..,2.0,5.1,1.6,..,2.3,5.0,2.1,2.5,2.2,..,3.2,4.9,1.7,..,1.6
"2010M11",33.8,5.8,7.7,5.4,..,2.4,36.6,3.3,4.7,..,30.7,6.8,7.8,4.8,..,7.9,36.2,2.4,..,2.1,4.9,2.4,2.7,2.2,..,1.7,4.9,1.8,2.8,..,4.6,2.9,2.7,2.2,..,3.0,5.0,1.6,..,1.8
"2011M05",30.6,5.5,7.4,4.1,..,2.2,40.7,4.0,5.0,..,33.2,5.2,6.3,4.3,..,6.9,39.7,2.6,..,..,4.4,2.5,2.5,2.0,..,1.3,4.7,1.8,2.6,..,4.8,2.4,2.6,2.4,..,2.8,5.1,1.7,..,..
"2011M11",35.3,7.3,7.7,3.4,..,2.1,30.7,4.7,8.0,..,34.9,7.1,5.1,6.8,..,5.5,35.4,3.5,..,..,4.7,2.7,2.6,2.0,..,1.3,4.5,2.1,3.3,..,5.2,2.8,2.5,3.1,..,2.4,5.3,2.0,..,..
"2012M05",31.1,5.9,6.7,3.3,..,3.4,38.8,4.6,5.5,..,24.8,6.3,4.5,6.2,..,4.7,48.4,2.9,1.4,..,4.8,2.7,2.5,2.2,..,1.8,5.1,2.1,2.7,..,4.4,2.8,2.2,2.7,..,2.3,5.3,1.7,1.3,..
"2012M11",26.9,4.8,8.3,3.6,..,2.0,37.6,3.8,13.1,0.0,26.6,3.6,5.5,5.0,..,3.2,47.4,4.0,4.7,0.0,4.5,2.2,2.8,2.1,..,1.2,5.0,1.9,4.1,0.0,4.7,2.1,2.4,2.5,..,2.1,5.4,2.1,2.5,0.0
"2013M05",30.0,6.7,6.7,3.9,..,2.0,36.9,5.0,8.7,..,24.2,5.0,6.5,4.4,..,7.1,45.1,3.9,3.6,..,4.8,2.8,2.6,2.1,..,1.3,5.0,2.1,3.3,..,4.5,2.5,2.6,2.3,..,3.0,5.5,2.2,2.2,..
"2013M11",21.1,7.2,6.9,6.1,..,1.7,38.5,4.9,13.1,..,28.1,2.0,6.5,4.2,..,5.6,43.2,3.3,6.5,..,4.0,2.7,2.6,2.5,..,1.2,4.9,2.2,3.9,..,4.8,1.6,2.6,2.3,..,2.3,5.3,2.1,3.0,..
"2014M05",22.5,6.7,5.0,5.4,..,3.6,39.9,7.3,8.7,..,24.5,5.0,6.1,4.7,..,4.1,41.3,6.5,5.5,2.4,4.4,2.8,2.4,2.6,..,2.2,5.2,2.7,3.3,..,4.4,2.4,2.4,2.4,..,1.9,5.3,3.0,2.8,1.7
"2014M11",22.1,6.0,4.4,4.7,..,2.3,39.9,3.6,15.9,..,21.1,5.1,7.2,4.9,..,4.8,39.4,4.8,11.2,1.4,4.3,2.2,2.2,2.3,..,1.5,5.3,1.7,4.4,..,4.1,2.0,2.3,2.1,..,2.0,5.2,2.3,3.8,1.0
"2015M05",21.7,6.3,3.8,3.3,..,1.4,36.0,4.5,22.6,0.5,22.6,5.2,5.1,4.9,..,4.4,37.6,4.4,15.3,0.6,3.9,2.3,1.9,1.5,..,0.9,4.5,1.7,4.4,0.5,4.1,1.9,1.8,1.9,..,1.7,4.8,1.7,3.9,0.5
"2015M11",18.6,6.8,5.9,2.9,..,1.2,37.1,3.7,23.4,..,20.1,6.5,6.2,4.9,..,2.5,40.0,4.3,14.7,..,4.1,2.4,2.5,1.7,..,0.9,4.9,2.3,5.0,..,4.5,2.4,2.2,2.3,..,1.4,5.3,2.6,4.3,..
"2016M05",26.8,6.8,6.5,2.4,..,0.9,36.8,3.8,15.2,..,24.0,4.5,5.8,3.3,..,2.0,41.9,3.9,14.0,..,4.6,2.6,2.3,1.5,..,0.8,4.8,1.8,4.2,..,4.3,2.0,2.1,1.9,..,1.2,5.1,1.9,4.1,..
"2016M11",22.5,8.7,5.5,2.5,..,0.8,35.3,4.7,19.7,..,22.0,8.1,5.8,3.0,..,1.4,38.0,4.4,16.3,..,4.6,3.0,2.1,1.5,..,0.8,4.9,2.0,4.8,..,4.3,2.9,2.4,2.0,..,1.0,4.9,1.8,4.2,..
"2017M05",16.6,9.3,3.4,3.1,..,2.0,39.5,6.1,19.3,..,14.4,11.7,6.0,3.0,..,2.0,39.3,5.2,17.5,..,3.6,3.1,1.7,2.0,..,1.3,5.0,2.2,4.6,..,3.4,3.3,2.6,1.9,..,1.3,5.2,2.1,4.4,..
"2017M11",18.8,6.1,4.6,3.2,..,2.3,42.8,5.2,16.1,1.0,17.3,9.2,6.3,3.5,..,1.3,43.9,5.8,11.0,..,3.9,2.5,2.3,2.1,..,1.4,5.3,2.1,4.4,0.9,3.9,3.0,2.7,2.0,..,1.1,5.3,2.3,3.7,..
"2018M05",16.7,5.2,2.6,4.1,..,2.5,38.3,6.8,21.9,2.0,18.7,9.5,3.3,6.1,..,3.3,38.0,6.3,13.3,..,3.6,2.1,1.4,2.3,..,1.4,5.2,2.4,5.3,1.3,4.1,3.2,1.7,2.5,..,1.8,5.1,2.4,4.0,..
"2018M11",17.4,5.9,2.6,5.8,..,2.3,40.4,5.6,19.7,..,21.3,6.8,3.8,6.9,..,2.5,39.9,5.6,10.6,..,4.0,2.1,1.3,2.2,..,1.3,5.7,2.0,4.4,..,5.2,2.4,1.7,2.5,..,1.5,5.6,2.1,3.6,..
"2019M05",13.3,4.2,2.7,15.0,..,1.7,31.9,5.1,24.8,1.3,13.3,5.6,2.8,14.9,..,4.1,39.0,7.1,13.1,..,3.9,1.9,1.5,4.0,..,1.2,5.3,2.0,5.2,1.2,3.6,2.3,1.6,4.7,..,2.9,5.4,2.5,4.0,..
"2019M11",15.3,2.9,2.4,7.1,..,1.0,31.2,6.1,33.5,..,16.1,4.2,2.9,8.6,..,1.7,36.0,7.5,23.1,0.0,3.5,1.5,1.9,2.4,..,0.9,5.1,2.2,5.1,..,4.4,1.9,1.5,2.8,..,1.1,5.5,2.5,5.1,0.0
"2020M05",13.4,5.3,3.6,5.8,..,..,33.3,5.7,31.4,..,13.0,4.5,3.4,7.4,..,1.9,43.4,9.9,16.3,0.0,3.2,2.2,2.1,2.2,..,..,4.7,2.1,5.3,..,3.6,2.1,1.7,3.3,..,1.3,5.4,3.2,4.4,0.0
"2020M11",14.8,5.5,4.9,7.1,..,1.0,32.1,8.0,26.0,..,19.8,5.6,3.3,6.0,..,1.7,39.0,9.4,15.2,0.0,3.5,2.2,3.0,3.0,..,0.9,5.1,2.6,5.3,..,4.1,2.3,1.7,2.4,..,1.1,5.3,2.9,4.2,0.0
