"2 ggr/år","Svarsfördelning, procent män 75+ år M","Svarsfördelning, procent män 75+ år C","Svarsfördelning, procent män 75+ år L","Svarsfördelning, procent män 75+ år KD","Svarsfördelning, procent män 75+ år NYD","Svarsfördelning, procent män 75+ år MP","Svarsfördelning, procent män 75+ år S","Svarsfördelning, procent män 75+ år V","Svarsfördelning, procent män 75+ år SD","Svarsfördelning, procent män 75+ år övriga","Svarsfördelning, procent kvinnor 75+ år M","Svarsfördelning, procent kvinnor 75+ år C","Svarsfördelning, procent kvinnor 75+ år L","Svarsfördelning, procent kvinnor 75+ år KD","Svarsfördelning, procent kvinnor 75+ år NYD","Svarsfördelning, procent kvinnor 75+ år MP","Svarsfördelning, procent kvinnor 75+ år S","Svarsfördelning, procent kvinnor 75+ år V","Svarsfördelning, procent kvinnor 75+ år SD","Svarsfördelning, procent kvinnor 75+ år övriga","Felmarginal, ± män 75+ år M","Felmarginal, ± män 75+ år C","Felmarginal, ± män 75+ år L","Felmarginal, ± män 75+ år KD","Felmarginal, ± män 75+ år NYD","Felmarginal, ± män 75+ år MP","Felmarginal, ± män 75+ år S","Felmarginal, ± män 75+ år V","Felmarginal, ± män 75+ år SD","Felmarginal, ± män 75+ år övriga","Felmarginal, ± kvinnor 75+ år M","Felmarginal, ± kvinnor 75+ år C","Felmarginal, ± kvinnor 75+ år L","Felmarginal, ± kvinnor 75+ år KD","Felmarginal, ± kvinnor 75+ år NYD","Felmarginal, ± kvinnor 75+ år MP","Felmarginal, ± kvinnor 75+ år S","Felmarginal, ± kvinnor 75+ år V","Felmarginal, ± kvinnor 75+ år SD","Felmarginal, ± kvinnor 75+ år övriga"
"2006M05",29.7,6.1,8.5,3.6,..,0.9,47.1,2.0,..,2.1,24.8,11.9,4.2,6.1,..,2.3,48.4,1.5,..,0.8,6.0,3.1,3.6,2.5,..,1.3,6.5,1.8,..,1.8,5.2,3.9,2.4,2.9,..,1.8,6.0,1.5,..,1.1
"2006M11",31.9,9.0,8.9,4.9,..,1.3,41.3,0.7,..,2.1,25.7,9.7,6.5,7.2,..,1.4,46.9,1.8,..,0.7,5.9,3.6,3.5,2.7,..,1.5,6.2,1.0,..,1.9,5.1,3.4,2.8,3.0,..,1.4,5.7,1.5,..,1.0
"2007M05",30.5,7.2,5.6,3.0,..,1.1,48.9,2.5,..,1.2,22.0,9.2,5.3,8.1,..,1.4,51.5,0.7,..,1.8,5.7,3.2,2.8,2.2,..,1.3,6.2,1.9,..,1.4,4.7,3.2,2.5,3.1,..,1.3,5.6,0.9,..,1.6
"2007M11",22.8,8.9,7.4,3.1,..,0.2,51.4,2.9,..,3.4,23.6,9.6,7.7,6.4,..,0.8,48.1,1.6,..,2.2,5.4,3.6,3.3,2.3,..,0.4,6.3,2.0,..,2.3,5.0,3.5,3.1,2.9,..,0.9,5.9,1.5,..,1.8
"2008M05",19.4,6.6,9.3,4.4,..,1.0,53.3,2.4,..,3.6,24.1,12.5,6.6,6.9,..,1.8,45.0,1.3,..,1.8,4.9,3.0,3.6,2.5,..,1.2,6.1,1.9,..,2.3,4.9,3.7,2.8,2.9,..,1.5,5.6,1.3,..,1.6
"2008M11",22.0,7.9,8.5,4.1,..,0.4,49.2,4.4,..,3.5,25.4,11.9,8.0,6.3,..,1.9,42.0,3.1,..,1.4,5.2,3.3,3.5,2.5,..,0.8,6.2,2.5,..,2.3,5.1,3.7,3.1,2.8,..,1.6,5.7,2.0,..,1.4
"2009M05",26.9,8.0,8.8,5.1,..,0.5,43.9,1.8,..,5.0,31.8,9.1,6.1,6.8,..,2.2,39.7,2.5,..,1.7,5.8,3.5,3.7,2.8,..,0.9,6.4,1.8,..,2.9,5.5,3.4,2.8,3.0,..,1.8,5.8,1.9,..,1.6
"2009M11",27.3,7.2,9.9,4.2,..,1.4,45.3,0.9,..,3.7,28.5,10.0,10.4,6.7,..,2.3,38.7,1.5,..,2.0,5.8,3.3,3.9,2.6,..,1.5,6.5,1.3,..,2.4,5.3,3.5,3.6,2.9,..,1.7,5.7,1.5,..,1.6
"2010M05",34.9,7.7,8.2,3.5,..,2.9,39.6,0.5,..,2.7,29.2,8.4,8.5,6.7,..,5.4,37.7,1.7,..,2.5,6.3,3.5,3.6,2.4,..,2.3,6.5,0.9,..,2.2,5.7,3.4,3.4,3.1,..,2.9,6.1,1.7,..,2.0
"2010M11",31.3,10.7,7.5,5.0,..,..,38.7,..,4.3,0.0,33.2,7.3,8.0,8.4,..,2.1,37.6,1.4,2.2,0.0,6.4,4.4,3.5,3.3,..,..,6.8,..,3.3,0.0,5.4,3.2,3.2,3.2,..,1.5,5.6,1.4,2.1,0.0
"2011M05",31.5,10.5,6.1,2.2,..,..,41.1,3.4,3.5,..,31.6,6.9,6.2,7.3,..,1.8,43.9,..,..,0.0,6.2,4.2,3.6,2.1,..,..,6.8,3.0,3.0,..,5.4,3.2,2.9,3.2,..,1.4,5.9,..,..,0.0
"2011M11",30.9,10.0,5.2,..,..,3.0,38.4,5.7,3.5,..,29.4,9.4,8.0,8.0,..,2.4,41.5,..,..,..,6.7,4.6,3.9,..,..,2.4,7.1,3.4,3.0,..,5.4,3.9,3.3,3.6,..,1.8,6.2,..,..,..
"2012M05",26.3,10.7,4.7,3.0,..,..,48.6,2.4,2.5,..,20.2,8.3,9.1,5.4,..,2.2,50.8,..,2.6,..,5.9,4.8,3.1,2.6,..,..,6.9,2.1,2.4,..,4.8,3.7,3.3,3.0,..,2.0,6.1,..,2.3,..
"2012M11",29.5,11.0,3.2,4.0,..,..,42.1,3.6,4.8,..,23.9,6.4,12.7,6.8,..,1.3,44.9,..,3.6,0.0,6.2,4.8,2.6,2.9,..,..,6.9,2.6,3.1,..,5.2,3.4,4.1,3.4,..,1.3,6.2,..,2.5,0.0
