"2 ggr/år","Svarsfördelning, procent män totalt 18+ år M","Svarsfördelning, procent män totalt 18+ år C","Svarsfördelning, procent män totalt 18+ år L","Svarsfördelning, procent män totalt 18+ år KD","Svarsfördelning, procent män totalt 18+ år NYD","Svarsfördelning, procent män totalt 18+ år MP","Svarsfördelning, procent män totalt 18+ år S","Svarsfördelning, procent män totalt 18+ år V","Svarsfördelning, procent män totalt 18+ år SD","Svarsfördelning, procent män totalt 18+ år övriga","Svarsfördelning, procent kvinnor totalt 18+ år M","Svarsfördelning, procent kvinnor totalt 18+ år C","Svarsfördelning, procent kvinnor totalt 18+ år L","Svarsfördelning, procent kvinnor totalt 18+ år KD","Svarsfördelning, procent kvinnor totalt 18+ år NYD","Svarsfördelning, procent kvinnor totalt 18+ år MP","Svarsfördelning, procent kvinnor totalt 18+ år S","Svarsfördelning, procent kvinnor totalt 18+ år V","Svarsfördelning, procent kvinnor totalt 18+ år SD","Svarsfördelning, procent kvinnor totalt 18+ år övriga","Felmarginal, ± män totalt 18+ år M","Felmarginal, ± män totalt 18+ år C","Felmarginal, ± män totalt 18+ år L","Felmarginal, ± män totalt 18+ år KD","Felmarginal, ± män totalt 18+ år NYD","Felmarginal, ± män totalt 18+ år MP","Felmarginal, ± män totalt 18+ år S","Felmarginal, ± män totalt 18+ år V","Felmarginal, ± män totalt 18+ år SD","Felmarginal, ± män totalt 18+ år övriga","Felmarginal, ± kvinnor totalt 18+ år M","Felmarginal, ± kvinnor totalt 18+ år C","Felmarginal, ± kvinnor totalt 18+ år L","Felmarginal, ± kvinnor totalt 18+ år KD","Felmarginal, ± kvinnor totalt 18+ år NYD","Felmarginal, ± kvinnor totalt 18+ år MP","Felmarginal, ± kvinnor totalt 18+ år S","Felmarginal, ± kvinnor totalt 18+ år V","Felmarginal, ± kvinnor totalt 18+ år SD","Felmarginal, ± kvinnor totalt 18+ år övriga"
"2006M05",31.9,5.3,8.4,3.1,..,3.3,40.3,4.8,..,2.8,23.0,6.7,8.8,4.8,..,6.4,42.0,7.0,..,1.3,1.8,0.9,1.1,0.7,..,0.7,1.9,0.8,..,0.6,1.7,1.0,1.1,0.9,..,1.0,2.0,1.0,..,0.5
"2006M11",31.2,6.4,6.5,3.9,..,4.7,38.4,5.1,..,3.7,23.1,8.2,7.9,6.1,..,6.9,39.6,6.3,..,2.0,1.7,0.9,0.9,0.7,..,0.8,1.8,0.8,..,0.7,1.6,1.0,1.0,0.9,..,0.9,1.8,0.9,..,0.5
"2007M05",29.2,5.3,5.6,2.7,..,5.2,43.7,4.8,..,3.3,22.2,6.4,7.0,4.9,..,6.8,45.5,5.6,..,1.6,1.7,0.8,0.9,0.6,..,0.8,1.9,0.8,..,0.7,1.6,0.9,0.9,0.8,..,0.9,1.9,0.8,..,0.5
"2007M11",28.2,5.3,6.0,2.4,..,4.5,45.0,5.5,..,3.0,22.4,5.7,7.3,4.2,..,6.5,46.4,5.6,..,1.8,1.7,0.9,0.9,0.6,..,0.8,1.9,0.9,..,0.7,1.6,0.9,1.0,0.8,..,0.9,1.9,0.8,..,0.5
"2008M05",26.6,5.3,6.2,2.7,..,4.6,45.5,5.4,..,3.8,21.4,5.7,7.5,4.2,..,8.2,46.0,5.4,..,1.7,1.7,0.9,0.9,0.6,..,0.8,1.9,0.9,..,0.7,1.6,0.9,1.0,0.8,..,1.0,1.9,0.9,..,0.5
"2008M11",30.6,5.3,5.5,2.6,..,4.3,41.9,5.5,..,4.2,23.5,5.3,6.5,4.2,..,7.8,44.2,6.2,..,2.2,1.8,0.9,0.9,0.6,..,0.8,1.9,0.9,..,0.8,1.7,0.9,1.0,0.8,..,1.0,1.9,0.9,..,0.6
"2009M05",34.0,4.5,5.7,2.5,..,4.6,36.8,4.9,..,7.1,27.4,5.2,6.2,4.3,..,8.0,40.4,6.5,..,2.1,1.8,0.8,0.9,0.6,..,0.8,1.9,0.8,..,1.0,1.8,0.9,0.9,0.8,..,1.1,1.9,1.0,..,0.6
"2009M11",32.1,4.0,6.7,2.6,..,5.9,37.0,4.4,..,7.4,27.2,5.0,7.2,5.1,..,10.1,37.3,5.4,..,2.7,1.8,0.8,1.0,0.6,..,0.9,1.9,0.8,..,1.0,1.8,0.9,1.0,0.9,..,1.2,1.9,0.9,..,0.7
"2010M05",34.8,3.2,6.2,2.8,..,8.1,32.6,6.0,..,6.3,29.2,4.4,6.9,4.4,..,12.5,34.2,5.8,..,2.6,1.9,0.7,0.9,0.7,..,1.1,1.9,0.9,..,1.0,1.9,0.8,1.0,0.9,..,1.3,1.9,0.9,..,0.7
"2010M11",35.3,5.4,6.7,3.3,..,6.7,28.8,5.6,6.8,1.4,29.0,5.5,7.2,4.3,..,10.2,34.0,5.1,3.3,1.3,1.6,0.8,0.8,0.6,..,0.9,1.5,0.8,1.1,0.6,1.5,0.8,0.9,0.7,..,1.0,1.6,0.7,0.8,0.5
"2011M05",35.2,4.5,5.5,2.6,..,6.3,32.1,5.5,6.6,1.7,27.9,4.4,6.9,4.1,..,11.1,36.4,5.4,3.1,0.8,1.7,0.8,0.8,0.6,..,0.9,1.7,0.8,1.0,0.6,1.5,0.8,1.0,0.8,..,1.1,1.7,0.8,0.8,0.4
