"2 ggr/år","Svarsfördelning, procent män 18-34 år M","Svarsfördelning, procent män 18-34 år C","Svarsfördelning, procent män 18-34 år L","Svarsfördelning, procent män 18-34 år KD","Svarsfördelning, procent män 18-34 år NYD","Svarsfördelning, procent män 18-34 år MP","Svarsfördelning, procent män 18-34 år S","Svarsfördelning, procent män 18-34 år V","Svarsfördelning, procent män 18-34 år SD","Svarsfördelning, procent män 18-34 år övriga","Svarsfördelning, procent kvinnor 18-34 år M","Svarsfördelning, procent kvinnor 18-34 år C","Svarsfördelning, procent kvinnor 18-34 år L","Svarsfördelning, procent kvinnor 18-34 år KD","Svarsfördelning, procent kvinnor 18-34 år NYD","Svarsfördelning, procent kvinnor 18-34 år MP","Svarsfördelning, procent kvinnor 18-34 år S","Svarsfördelning, procent kvinnor 18-34 år V","Svarsfördelning, procent kvinnor 18-34 år SD","Svarsfördelning, procent kvinnor 18-34 år övriga","Felmarginal, ± män 18-34 år M","Felmarginal, ± män 18-34 år C","Felmarginal, ± män 18-34 år L","Felmarginal, ± män 18-34 år KD","Felmarginal, ± män 18-34 år NYD","Felmarginal, ± män 18-34 år MP","Felmarginal, ± män 18-34 år S","Felmarginal, ± män 18-34 år V","Felmarginal, ± män 18-34 år SD","Felmarginal, ± män 18-34 år övriga","Felmarginal, ± kvinnor 18-34 år M","Felmarginal, ± kvinnor 18-34 år C","Felmarginal, ± kvinnor 18-34 år L","Felmarginal, ± kvinnor 18-34 år KD","Felmarginal, ± kvinnor 18-34 år NYD","Felmarginal, ± kvinnor 18-34 år MP","Felmarginal, ± kvinnor 18-34 år S","Felmarginal, ± kvinnor 18-34 år V","Felmarginal, ± kvinnor 18-34 år SD","Felmarginal, ± kvinnor 18-34 år övriga"
"1994M05",28.1,5.1,6.0,2.8,..,3.0,47.5,3.9,..,3.7,19.7,4.7,8.4,1.5,..,4.1,54.7,5.6,..,1.2,3.1,1.5,1.6,1.1,..,1.2,3.4,1.3,..,1.3,3.0,1.6,2.1,0.9,..,1.5,3.8,1.8,..,0.8
"1994M11",32.5,5.3,6.7,2.4,..,5.9,39.3,6.9,..,1.1,18.6,6.7,8.3,2.8,..,8.4,46.4,8.2,..,0.7,3.1,1.5,1.6,1.0,..,1.6,3.2,1.7,..,0.7,2.6,1.6,1.8,1.1,..,1.8,3.3,1.8,..,0.5
"1995M05",34.1,5.5,4.7,2.1,..,6.5,34.0,11.8,..,1.4,20.1,6.4,8.6,3.0,..,9.9,38.0,13.6,..,0.5,3.4,1.6,1.5,1.0,..,1.7,3.3,2.3,..,0.8,2.8,1.7,2.0,1.2,..,2.1,3.4,2.4,..,0.5
"1995M11",34.7,4.8,3.9,2.3,..,10.1,32.4,10.6,..,1.2,19.2,6.1,7.1,3.1,..,16.3,33.5,14.0,..,0.6,3.3,1.5,1.3,1.0,..,2.1,3.2,2.1,..,0.8,2.7,1.7,1.8,1.2,..,2.6,3.3,2.4,..,0.5
"1996M05",32.8,5.2,4.6,1.5,..,9.7,34.0,10.3,..,1.9,21.9,5.1,5.5,3.0,..,16.8,34.2,13.0,..,0.7,3.3,1.6,1.5,0.9,..,2.1,3.3,2.1,..,1.0,3.0,1.6,1.7,1.2,..,2.7,3.4,2.4,..,0.6
"1996M11",32.2,5.5,4.6,1.9,..,9.0,35.4,10.0,..,1.3,22.7,5.0,6.9,4.3,..,17.7,29.3,13.9,..,0.2,3.3,1.6,1.5,1.0,..,2.0,3.4,2.1,..,0.8,3.2,1.6,1.9,1.5,..,2.9,3.4,2.6,..,0.3
"1997M05",38.1,4.6,3.8,2.9,..,8.0,31.7,9.8,..,1.2,30.7,4.4,6.0,4.0,..,12.9,28.0,13.9,..,0.2,3.5,1.5,1.4,1.2,..,2.0,3.4,2.1,..,0.8,3.7,1.6,1.9,1.6,..,2.7,3.6,2.8,..,0.3
"1997M11",36.5,4.2,5.0,3.1,..,7.0,35.3,8.0,..,0.8,31.8,3.0,5.9,2.5,..,11.8,32.0,12.4,..,0.6,3.5,1.5,1.6,1.3,..,1.8,3.5,2.0,..,0.7,3.6,1.3,1.8,1.2,..,2.5,3.6,2.6,..,0.6
"1998M05",39.2,3.1,5.1,2.7,..,6.4,35.0,7.9,..,0.7,28.2,2.9,6.8,4.1,..,11.9,33.9,11.6,..,0.8,3.5,1.2,1.6,1.2,..,1.8,3.4,1.9,..,0.6,3.5,1.3,2.0,1.6,..,2.5,3.7,2.5,..,0.7
"1998M11",37.5,3.3,4.8,6.0,..,5.8,31.5,10.1,..,1.1,24.4,4.1,5.6,8.4,..,8.9,32.3,16.0,..,0.4,3.3,1.2,1.5,1.6,..,1.6,3.2,2.1,..,0.7,3.0,1.4,1.6,1.9,..,2.0,3.2,2.5,..,0.4
"1999M05",38.1,2.9,4.5,4.9,..,5.7,31.4,11.5,..,0.9,23.6,3.5,4.7,7.4,..,10.3,30.3,20.4,..,0.0,3.5,1.2,1.5,1.5,..,1.7,3.3,2.3,..,0.7,3.0,1.3,1.5,1.9,..,2.2,3.3,2.9,..,0.0
"1999M11",36.3,3.4,3.7,5.7,..,6.8,32.4,10.8,..,1.0,22.4,3.0,6.4,7.1,..,11.2,30.9,18.7,..,0.3,3.5,1.3,1.4,1.7,..,1.8,3.4,2.2,..,0.7,3.1,1.3,1.8,1.9,..,2.3,3.4,2.9,..,0.4
"2000M05",35.0,2.6,4.1,4.5,..,7.3,34.7,10.3,..,1.5,20.1,2.4,6.9,6.1,..,12.6,29.7,21.3,..,1.0,3.6,1.2,1.5,1.6,..,1.9,3.6,2.3,..,0.9,3.1,1.2,2.0,1.9,..,2.6,3.6,3.2,..,0.8
"2000M11",32.3,2.5,3.6,5.8,..,5.5,38.0,11.1,..,1.1,20.8,2.3,5.7,6.1,..,10.7,31.5,22.8,..,0.2,3.6,1.2,1.4,1.8,..,1.7,3.7,2.4,..,0.8,3.3,1.2,1.9,1.9,..,2.5,3.8,3.4,..,0.3
"2001M05",31.1,3.4,4.8,4.5,..,4.8,36.3,13.7,..,1.3,21.0,3.6,6.1,6.1,..,8.8,34.3,19.9,..,0.2,3.5,1.4,1.6,1.6,..,1.6,3.6,2.6,..,0.9,3.4,1.6,2.0,2.0,..,2.4,3.9,3.3,..,0.4
"2001M11",34.3,3.3,4.7,4.4,..,3.3,37.1,11.9,..,1.1,18.8,3.3,5.1,5.5,..,7.9,40.2,19.2,..,0.0,3.5,1.3,1.6,1.5,..,1.3,3.6,2.4,..,0.8,3.2,1.4,1.8,1.9,..,2.2,4.0,3.2,..,0.0
"2002M05",28.5,3.1,5.3,3.7,..,4.1,41.2,12.3,..,1.9,17.4,4.4,6.2,5.5,..,6.2,43.4,16.7,..,0.2,3.4,1.3,1.7,1.4,..,1.5,3.7,2.5,..,1.0,3.1,1.7,2.0,1.9,..,2.0,4.1,3.1,..,0.4
"2002M11",22.6,3.6,14.7,4.0,..,6.6,37.5,9.3,..,1.8,10.2,4.7,14.5,5.3,..,9.5,37.5,17.5,..,0.7,3.0,1.4,2.6,1.4,..,1.8,3.5,2.1,..,1.0,2.3,1.6,2.6,1.7,..,2.2,3.6,2.8,..,0.6
"2003M05",24.8,3.1,13.5,4.9,..,7.6,34.4,10.3,..,1.5,11.6,2.9,14.4,4.6,..,9.9,39.1,16.6,..,1.1,3.2,1.3,2.6,1.6,..,2.0,3.6,2.3,..,0.9,2.4,1.3,2.7,1.6,..,2.3,3.7,2.8,..,0.8
"2003M11",24.8,4.1,14.4,5.1,..,6.7,35.5,8.8,..,0.7,13.4,4.1,15.0,3.8,..,10.4,36.4,15.9,..,1.0,3.2,1.5,2.6,1.6,..,1.8,3.5,2.1,..,0.6,2.6,1.5,2.7,1.4,..,2.3,3.6,2.7,..,0.8
"2004M05",28.1,3.3,13.3,3.4,..,6.4,34.4,9.6,..,1.6,16.9,3.2,10.9,4.8,..,9.8,36.7,16.9,..,0.8,3.3,1.3,2.5,1.4,..,1.8,3.5,2.2,..,0.9,2.9,1.4,2.4,1.6,..,2.3,3.7,2.9,..,0.7
"2004M11",30.7,2.8,11.3,4.1,..,7.3,34.2,8.4,..,1.3,15.0,4.6,11.3,2.8,..,12.6,37.4,15.6,..,0.8,3.5,1.2,2.4,1.5,..,2.0,3.6,2.1,..,0.9,2.7,1.6,2.4,1.3,..,2.6,3.7,2.8,..,0.7
