"2 ggr/år","Svarsfördelning, procent män 35+ år M","Svarsfördelning, procent män 35+ år C","Svarsfördelning, procent män 35+ år L","Svarsfördelning, procent män 35+ år KD","Svarsfördelning, procent män 35+ år NYD","Svarsfördelning, procent män 35+ år MP","Svarsfördelning, procent män 35+ år S","Svarsfördelning, procent män 35+ år V","Svarsfördelning, procent män 35+ år SD","Svarsfördelning, procent män 35+ år övriga","Svarsfördelning, procent kvinnor 35+ år M","Svarsfördelning, procent kvinnor 35+ år C","Svarsfördelning, procent kvinnor 35+ år L","Svarsfördelning, procent kvinnor 35+ år KD","Svarsfördelning, procent kvinnor 35+ år NYD","Svarsfördelning, procent kvinnor 35+ år MP","Svarsfördelning, procent kvinnor 35+ år S","Svarsfördelning, procent kvinnor 35+ år V","Svarsfördelning, procent kvinnor 35+ år SD","Svarsfördelning, procent kvinnor 35+ år övriga","Felmarginal, ± män 35+ år M","Felmarginal, ± män 35+ år C","Felmarginal, ± män 35+ år L","Felmarginal, ± män 35+ år KD","Felmarginal, ± män 35+ år NYD","Felmarginal, ± män 35+ år MP","Felmarginal, ± män 35+ år S","Felmarginal, ± män 35+ år V","Felmarginal, ± män 35+ år SD","Felmarginal, ± män 35+ år övriga","Felmarginal, ± kvinnor 35+ år M","Felmarginal, ± kvinnor 35+ år C","Felmarginal, ± kvinnor 35+ år L","Felmarginal, ± kvinnor 35+ år KD","Felmarginal, ± kvinnor 35+ år NYD","Felmarginal, ± kvinnor 35+ år MP","Felmarginal, ± kvinnor 35+ år S","Felmarginal, ± kvinnor 35+ år V","Felmarginal, ± kvinnor 35+ år SD","Felmarginal, ± kvinnor 35+ år övriga"
"1994M05",22.0,8.5,7.0,2.3,..,1.5,54.1,2.5,..,2.2,16.7,8.6,6.1,3.6,..,2.4,58.2,3.1,..,1.3,1.8,1.2,1.1,0.6,..,0.5,2.1,0.7,..,0.6,1.6,1.2,1.0,0.8,..,0.7,2.1,0.7,..,0.5
"1994M11",23.4,8.1,6.3,2.2,..,2.8,51.4,4.9,..,0.8,18.6,8.5,6.3,3.1,..,3.7,54.9,4.4,..,0.5,1.8,1.1,1.0,0.6,..,0.7,2.1,0.9,..,0.4,1.6,1.2,1.0,0.7,..,0.8,2.1,0.9,..,0.3
"1995M05",25.0,9.4,6.6,1.9,..,2.8,45.5,7.7,..,1.1,19.2,8.6,7.5,3.2,..,4.6,46.2,10.3,..,0.4,1.9,1.3,1.1,0.6,..,0.7,2.2,1.2,..,0.5,1.7,1.2,1.2,0.8,..,0.9,2.2,1.3,..,0.3
"1995M11",26.1,7.4,5.0,2.4,..,7.0,41.4,10.0,..,0.8,20.8,7.3,5.8,3.0,..,12.2,41.3,9.5,..,0.2,1.9,1.2,1.0,0.7,..,1.1,2.2,1.3,..,0.4,1.8,1.1,1.0,0.7,..,1.4,2.1,1.3,..,0.2
"1996M05",27.1,7.6,4.6,2.4,..,5.1,42.7,9.9,..,0.7,22.0,6.6,6.6,3.2,..,8.9,42.2,10.2,..,0.3,2.0,1.2,0.9,0.7,..,1.0,2.2,1.3,..,0.4,1.8,1.1,1.1,0.8,..,1.3,2.2,1.4,..,0.2
"1996M11",27.4,7.2,4.8,3.2,..,4.8,41.1,9.9,..,1.6,22.7,7.0,6.7,4.4,..,8.1,39.9,10.2,..,1.1,2.0,1.2,1.0,0.8,..,1.0,2.2,1.4,..,0.6,1.9,1.2,1.2,0.9,..,1.3,2.3,1.4,..,0.5
"1997M05",32.4,6.7,5.1,2.9,..,4.0,40.1,8.0,..,1.0,28.3,6.4,6.4,3.8,..,6.3,37.1,11.1,..,0.6,2.1,1.1,1.0,0.8,..,0.9,2.2,1.2,..,0.4,2.1,1.1,1.1,0.9,..,1.1,2.2,1.5,..,0.3
"1997M11",29.9,6.4,6.6,3.2,..,3.0,43.4,7.0,..,0.7,25.2,6.3,6.8,5.1,..,4.6,42.5,9.0,..,0.6,2.0,1.1,1.1,0.8,..,0.8,2.2,1.1,..,0.4,1.9,1.1,1.1,1.0,..,0.9,2.2,1.3,..,0.3
"1998M05",28.7,6.7,6.5,3.7,..,2.9,43.0,7.4,..,1.2,24.0,6.4,6.9,5.5,..,5.7,42.8,8.3,..,0.4,2.1,1.1,1.1,0.9,..,0.8,2.3,1.2,..,0.5,1.9,1.1,1.1,1.0,..,1.0,2.2,1.2,..,0.3
"1998M11",25.6,5.9,5.7,6.7,..,2.9,42.8,9.2,..,1.2,19.5,5.3,6.4,11.6,..,5.0,40.7,10.0,..,1.6,1.9,1.0,1.0,1.1,..,0.8,2.2,1.3,..,0.5,1.7,1.0,1.1,1.4,..,0.9,2.1,1.3,..,0.5
