"2 ggr/år","Svarsfördelning, procent män totalt 18+ år M","Svarsfördelning, procent män totalt 18+ år C","Svarsfördelning, procent män totalt 18+ år L","Svarsfördelning, procent män totalt 18+ år KD","Svarsfördelning, procent män totalt 18+ år NYD","Svarsfördelning, procent män totalt 18+ år MP","Svarsfördelning, procent män totalt 18+ år S","Svarsfördelning, procent män totalt 18+ år V","Svarsfördelning, procent män totalt 18+ år SD","Svarsfördelning, procent män totalt 18+ år övriga","Svarsfördelning, procent kvinnor totalt 18+ år M","Svarsfördelning, procent kvinnor totalt 18+ år C","Svarsfördelning, procent kvinnor totalt 18+ år L","Svarsfördelning, procent kvinnor totalt 18+ år KD","Svarsfördelning, procent kvinnor totalt 18+ år NYD","Svarsfördelning, procent kvinnor totalt 18+ år MP","Svarsfördelning, procent kvinnor totalt 18+ år S","Svarsfördelning, procent kvinnor totalt 18+ år V","Svarsfördelning, procent kvinnor totalt 18+ år SD","Svarsfördelning, procent kvinnor totalt 18+ år övriga","Felmarginal, ± män totalt 18+ år M","Felmarginal, ± män totalt 18+ år C","Felmarginal, ± män totalt 18+ år L","Felmarginal, ± män totalt 18+ år KD","Felmarginal, ± män totalt 18+ år NYD","Felmarginal, ± män totalt 18+ år MP","Felmarginal, ± män totalt 18+ år S","Felmarginal, ± män totalt 18+ år V","Felmarginal, ± män totalt 18+ år SD","Felmarginal, ± män totalt 18+ år övriga","Felmarginal, ± kvinnor totalt 18+ år M","Felmarginal, ± kvinnor totalt 18+ år C","Felmarginal, ± kvinnor totalt 18+ år L","Felmarginal, ± kvinnor totalt 18+ år KD","Felmarginal, ± kvinnor totalt 18+ år NYD","Felmarginal, ± kvinnor totalt 18+ år MP","Felmarginal, ± kvinnor totalt 18+ år S","Felmarginal, ± kvinnor totalt 18+ år V","Felmarginal, ± kvinnor totalt 18+ år SD","Felmarginal, ± kvinnor totalt 18+ år övriga"
"1994M05",23.7,7.5,6.7,2.4,..,1.9,52.2,2.9,..,2.6,17.4,7.7,6.7,3.1,..,2.8,57.4,3.7,..,1.3,1.5,1.0,0.9,0.6,..,0.5,1.8,0.6,..,0.6,1.4,1.0,0.9,0.7,..,0.6,1.9,0.7,..,0.4
"1994M11",26.0,7.3,6.4,2.2,..,3.7,48.0,5.5,..,0.9,18.6,8.0,6.8,3.0,..,5.0,52.5,5.5,..,0.6,1.5,0.9,0.9,0.5,..,0.7,1.8,0.8,..,0.3,1.4,1.0,0.9,0.6,..,0.8,1.7,0.8,..,0.3
"1995M05",27.5,8.3,6.1,1.9,..,3.8,42.3,8.8,..,1.2,19.4,8.0,7.8,3.2,..,6.1,43.9,11.2,..,0.4,1.7,1.0,0.9,0.5,..,0.7,1.8,1.1,..,0.4,1.5,1.0,1.0,0.7,..,0.9,1.9,1.2,..,0.3
"1995M11",28.6,6.6,4.7,2.3,..,7.9,38.8,10.2,..,0.9,20.4,7.0,6.1,3.0,..,13.3,39.1,10.8,..,0.3,1.7,0.9,0.8,0.6,..,1.0,1.8,1.1,..,0.4,1.5,0.9,0.9,0.6,..,1.3,1.8,1.1,..,0.2
"1996M05",28.7,6.9,4.6,2.2,..,6.4,40.2,10.0,..,1.0,22.0,6.2,6.3,3.1,..,11.1,40.0,11.0,..,0.4,1.7,1.0,0.8,0.6,..,0.9,1.8,1.1,..,0.4,1.6,0.9,0.9,0.7,..,1.2,1.9,1.2,..,0.2
"1996M11",28.8,6.7,4.8,2.8,..,6.1,39.4,9.9,..,1.5,22.7,6.4,6.8,4.3,..,10.7,37.0,11.2,..,0.8,1.7,1.0,0.8,0.6,..,0.9,1.9,1.1,..,0.5,1.6,1.0,1.0,0.8,..,1.2,1.9,1.2,..,0.4
"1997M05",34.0,6.1,4.7,2.9,..,5.1,37.8,8.5,..,1.0,28.9,5.9,6.3,3.9,..,7.9,34.8,11.8,..,0.5,1.8,0.9,0.8,0.6,..,0.8,1.9,1.1,..,0.4,1.8,0.9,1.0,0.8,..,1.1,1.9,1.3,..,0.3
"1997M11",31.7,5.8,6.1,3.2,..,4.1,41.2,7.2,..,0.7,26.8,5.5,6.6,4.5,..,6.3,39.9,9.9,..,0.6,1.7,0.9,0.9,0.7,..,0.7,1.8,1.0,..,0.3,1.7,0.9,1.0,0.8,..,0.9,1.9,1.2,..,0.3
"1998M05",31.7,5.6,6.1,3.4,..,3.9,40.7,7.5,..,1.0,25.0,5.6,6.9,5.2,..,7.2,40.6,9.1,..,0.5,1.8,0.9,0.9,0.7,..,0.7,1.9,1.0,..,0.4,1.7,0.9,1.0,0.9,..,1.0,1.9,1.1,..,0.3
"1998M11",29.1,5.1,5.4,6.5,..,3.8,39.5,9.4,..,1.2,20.8,5.0,6.2,10.7,..,6.1,38.3,11.7,..,1.2,1.7,0.8,0.9,0.9,..,0.7,1.8,1.1,..,0.4,1.5,0.8,0.9,1.1,..,0.9,1.8,1.2,..,0.4
