"2 ggr/år","Svarsfördelning, procent män 50-64 år M","Svarsfördelning, procent män 50-64 år C","Svarsfördelning, procent män 50-64 år L","Svarsfördelning, procent män 50-64 år KD","Svarsfördelning, procent män 50-64 år NYD","Svarsfördelning, procent män 50-64 år MP","Svarsfördelning, procent män 50-64 år S","Svarsfördelning, procent män 50-64 år V","Svarsfördelning, procent män 50-64 år SD","Svarsfördelning, procent män 50-64 år övriga","Svarsfördelning, procent kvinnor 50-64 år M","Svarsfördelning, procent kvinnor 50-64 år C","Svarsfördelning, procent kvinnor 50-64 år L","Svarsfördelning, procent kvinnor 50-64 år KD","Svarsfördelning, procent kvinnor 50-64 år NYD","Svarsfördelning, procent kvinnor 50-64 år MP","Svarsfördelning, procent kvinnor 50-64 år S","Svarsfördelning, procent kvinnor 50-64 år V","Svarsfördelning, procent kvinnor 50-64 år SD","Svarsfördelning, procent kvinnor 50-64 år övriga","Felmarginal, ± män 50-64 år M","Felmarginal, ± män 50-64 år C","Felmarginal, ± män 50-64 år L","Felmarginal, ± män 50-64 år KD","Felmarginal, ± män 50-64 år NYD","Felmarginal, ± män 50-64 år MP","Felmarginal, ± män 50-64 år S","Felmarginal, ± män 50-64 år V","Felmarginal, ± män 50-64 år SD","Felmarginal, ± män 50-64 år övriga","Felmarginal, ± kvinnor 50-64 år M","Felmarginal, ± kvinnor 50-64 år C","Felmarginal, ± kvinnor 50-64 år L","Felmarginal, ± kvinnor 50-64 år KD","Felmarginal, ± kvinnor 50-64 år NYD","Felmarginal, ± kvinnor 50-64 år MP","Felmarginal, ± kvinnor 50-64 år S","Felmarginal, ± kvinnor 50-64 år V","Felmarginal, ± kvinnor 50-64 år SD","Felmarginal, ± kvinnor 50-64 år övriga"
"2006M05",28.8,7.2,7.5,3.1,..,3.3,43.6,4.7,..,1.8,22.7,6.7,9.2,3.9,..,4.6,43.1,8.0,..,1.8,3.2,1.8,1.9,1.2,..,1.3,3.6,1.5,..,1.0,3.3,2.0,2.3,1.5,..,1.6,3.9,2.1,..,1.0
"2006M11",29.9,7.6,6.0,3.9,..,4.3,40.6,5.0,..,2.6,21.8,8.6,7.8,6.2,..,5.0,41.9,6.6,..,2.2,3.2,1.8,1.7,1.4,..,1.4,3.5,1.5,..,1.2,3.0,2.0,1.9,1.8,..,1.6,3.6,1.8,..,1.1
"2007M05",26.0,6.0,4.3,3.0,..,4.3,48.5,5.8,..,2.1,23.3,7.2,6.1,3.9,..,3.3,49.3,5.5,..,1.3,3.2,1.7,1.5,1.2,..,1.5,3.6,1.7,..,1.0,3.1,1.9,1.7,1.4,..,1.3,3.6,1.6,..,0.8
"2007M11",25.1,6.2,5.0,2.4,..,3.6,48.8,7.0,..,1.8,21.3,6.1,7.7,3.3,..,4.4,49.9,6.1,..,1.2,3.2,1.7,1.6,1.1,..,1.4,3.6,1.9,..,1.0,2.9,1.7,1.9,1.3,..,1.5,3.6,1.7,..,0.8
"2008M05",24.3,5.3,4.6,2.5,..,3.6,49.4,8.1,..,2.2,20.8,5.0,7.1,3.8,..,5.3,50.8,6.0,..,1.4,3.3,1.7,1.6,1.2,..,1.4,3.8,2.1,..,1.1,3.0,1.6,1.9,1.4,..,1.6,3.7,1.7,..,0.8
"2008M11",27.9,6.1,5.1,2.7,..,4.0,45.4,6.4,..,2.4,24.3,4.5,6.7,4.1,..,5.7,46.7,6.2,..,1.8,3.4,1.8,1.6,1.2,..,1.5,3.8,1.9,..,1.2,3.3,1.5,1.9,1.5,..,1.8,3.8,1.8,..,1.0
"2009M05",33.9,5.3,4.7,2.4,..,3.7,41.6,5.1,..,3.3,29.8,4.4,6.3,4.5,..,6.3,38.9,8.2,..,1.7,3.6,1.7,1.6,1.2,..,1.4,3.8,1.7,..,1.4,3.5,1.5,1.9,1.6,..,1.9,3.8,2.1,..,1.0
"2009M11",32.9,5.4,5.2,2.0,..,6.4,38.4,4.8,..,4.9,29.1,5.5,6.4,4.9,..,8.1,38.2,5.3,..,2.5,3.6,1.7,1.7,1.1,..,1.9,3.7,1.7,..,1.6,3.6,1.8,1.9,1.7,..,2.1,3.8,1.8,..,1.3
"2010M05",34.0,3.1,5.3,1.3,..,9.0,35.6,7.7,..,4.0,27.2,4.7,7.3,4.8,..,10.4,34.5,8.4,..,2.8,3.8,1.4,1.7,0.9,..,2.3,3.9,2.1,..,1.6,3.5,1.6,2.0,1.7,..,2.4,3.8,2.2,..,1.3
"2010M11",34.2,5.9,5.1,3.3,..,6.7,31.8,7.1,5.1,0.8,28.1,5.1,8.1,4.6,..,8.2,34.4,8.1,3.0,..,3.6,1.9,1.7,1.3,..,1.8,3.5,1.9,2.1,0.8,3.3,1.7,2.0,1.5,..,2.0,3.6,2.1,1.6,..
