"2 ggr/år","Svarsfördelning, procent män 65+ år M","Svarsfördelning, procent män 65+ år C","Svarsfördelning, procent män 65+ år L","Svarsfördelning, procent män 65+ år KD","Svarsfördelning, procent män 65+ år NYD","Svarsfördelning, procent män 65+ år MP","Svarsfördelning, procent män 65+ år S","Svarsfördelning, procent män 65+ år V","Svarsfördelning, procent män 65+ år SD","Svarsfördelning, procent män 65+ år övriga","Svarsfördelning, procent kvinnor 65+ år M","Svarsfördelning, procent kvinnor 65+ år C","Svarsfördelning, procent kvinnor 65+ år L","Svarsfördelning, procent kvinnor 65+ år KD","Svarsfördelning, procent kvinnor 65+ år NYD","Svarsfördelning, procent kvinnor 65+ år MP","Svarsfördelning, procent kvinnor 65+ år S","Svarsfördelning, procent kvinnor 65+ år V","Svarsfördelning, procent kvinnor 65+ år SD","Svarsfördelning, procent kvinnor 65+ år övriga","Felmarginal, ± män 65+ år M","Felmarginal, ± män 65+ år C","Felmarginal, ± män 65+ år L","Felmarginal, ± män 65+ år KD","Felmarginal, ± män 65+ år NYD","Felmarginal, ± män 65+ år MP","Felmarginal, ± män 65+ år S","Felmarginal, ± män 65+ år V","Felmarginal, ± män 65+ år SD","Felmarginal, ± män 65+ år övriga","Felmarginal, ± kvinnor 65+ år M","Felmarginal, ± kvinnor 65+ år C","Felmarginal, ± kvinnor 65+ år L","Felmarginal, ± kvinnor 65+ år KD","Felmarginal, ± kvinnor 65+ år NYD","Felmarginal, ± kvinnor 65+ år MP","Felmarginal, ± kvinnor 65+ år S","Felmarginal, ± kvinnor 65+ år V","Felmarginal, ± kvinnor 65+ år SD","Felmarginal, ± kvinnor 65+ år övriga"
"2006M05",30.7,7.0,6.7,4.5,..,1.5,44.4,2.4,..,2.7,23.8,10.6,6.3,6.3,..,2.9,46.9,2.1,..,0.9,4.0,2.2,2.2,1.8,..,1.0,4.3,1.3,..,1.4,3.6,2.6,2.0,2.0,..,1.4,4.2,1.2,..,0.8
"2006M11",31.4,9.1,6.7,5.2,..,2.0,38.3,3.6,..,3.7,25.3,10.1,7.7,7.5,..,1.5,44.4,2.4,..,1.1,3.9,2.4,2.1,1.9,..,1.2,4.1,1.5,..,1.6,3.5,2.4,2.1,2.1,..,1.0,4.0,1.2,..,0.8
"2007M05",31.1,7.4,6.3,3.5,..,1.3,45.4,2.9,..,2.1,23.8,8.5,7.0,7.5,..,2.5,48.0,0.9,..,1.7,3.8,2.2,2.0,1.5,..,0.9,4.1,1.4,..,1.3,3.3,2.1,1.9,2.0,..,1.2,3.9,0.7,..,1.1
"2007M11",25.8,8.1,7.7,3.9,..,1.3,46.8,2.7,..,3.7,24.1,8.5,7.3,6.7,..,1.9,48.2,1.3,..,1.9,3.7,2.3,2.2,1.7,..,1.0,4.2,1.3,..,1.6,3.4,2.2,2.1,2.0,..,1.0,4.0,0.9,..,1.1
"2008M05",23.1,6.2,9.8,4.2,..,1.3,48.0,3.2,..,4.1,23.2,9.6,7.6,6.8,..,2.6,46.1,1.6,..,2.5,3.4,1.9,2.4,1.6,..,0.9,4.0,1.4,..,1.6,3.3,2.3,2.1,2.0,..,1.3,3.9,1.0,..,1.2
"2008M11",27.4,7.0,7.8,3.0,..,1.2,45.8,3.7,..,4.0,27.0,9.0,6.5,5.7,..,1.9,44.0,3.5,..,2.4,3.6,2.1,2.2,1.4,..,0.9,4.0,1.5,..,1.6,3.6,2.3,2.0,1.9,..,1.1,4.0,1.5,..,1.2
"2009M05",33.2,6.3,7.4,3.0,..,0.5,42.0,2.9,..,4.7,33.3,7.1,6.8,5.4,..,2.9,40.0,3.1,..,1.5,3.8,2.0,2.2,1.4,..,0.6,4.0,1.4,..,1.7,3.8,2.1,2.0,1.8,..,1.3,3.9,1.4,..,1.0
"2009M11",29.0,6.0,8.0,3.3,..,1.6,45.3,1.5,..,5.2,29.8,7.5,8.0,6.6,..,5.2,37.5,3.3,..,2.1,3.7,2.0,2.2,1.5,..,1.0,4.1,1.0,..,1.8,3.6,2.1,2.2,2.0,..,1.7,3.9,1.4,..,1.1
"2010M05",34.4,6.0,7.0,4.5,..,3.5,39.1,1.6,..,4.1,32.4,6.5,7.7,5.5,..,7.8,35.4,2.2,..,2.4,3.9,2.0,2.1,1.7,..,1.5,4.0,1.0,..,1.6,3.8,2.0,2.1,1.9,..,2.1,3.9,1.2,..,1.3
"2010M11",32.8,7.9,7.6,5.2,..,2.0,37.5,2.3,4.5,..,31.9,7.0,7.9,6.6,..,4.9,36.9,1.9,1.8,1.0,3.8,2.3,2.1,1.8,..,1.2,3.9,1.4,2.1,..,3.4,2.1,2.1,1.9,..,1.7,3.7,1.0,1.3,0.9
